Данные по сигналу Мгновенный расход ИЛ №1 (т/ч) (т/ч):,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Дата: с 21.12.2017 по 25.12.2018 23:59:59,,,,,,
Время,Значение,Качество,,,,
2018-01-06 14:00:00,438.3257751464844,Хорошее,,,,
2018-01-06 15:00:00,442.81610107421875,Хорошее,,,,
2018-01-06 16:00:00,442.75616455078125,Хорошее,,,,
2018-01-06 17:00:00,442.75543212890625,Хорошее,,,,
2018-01-06 18:00:00,442.77349853515625,Хорошее,,,,
2018-01-06 19:00:00,442.7645263671875,Хорошее,,,,
2018-01-06 20:00:00,442.8038635253906,Хорошее,,,,
2018-01-06 21:00:00,442.8399963378906,Хорошее,,,,
2018-01-06 22:00:00,442.80908203125,Хорошее,,,,
2018-01-06 23:00:00,429.29864501953125,Хорошее,,,,
2018-01-07 00:00:00,442.7130432128906,Хорошее,,,,
2018-01-07 01:00:00,442.7872619628906,Хорошее,,,,
2018-01-07 02:00:00,442.9031982421875,Хорошее,,,,
2018-01-07 03:00:00,438.3906555175781,Хорошее,,,,
2018-01-07 04:00:00,429.49566650390625,Хорошее,,,,
2018-01-07 05:00:00,438.4525451660156,Хорошее,,,,
2018-01-07 06:00:00,433.99822998046875,Хорошее,,,,
2018-01-07 07:00:00,433.96771240234375,Хорошее,,,,
2018-01-07 08:00:00,433.95013427734375,Хорошее,,,,
2018-01-07 09:00:00,397.17291259765625,Хорошее,,,,
2018-01-07 10:00:00,447.3818359375,Хорошее,,,,
2018-01-07 11:00:00,442.8671875,Хорошее,,,,
2018-01-07 12:00:00,442.9058532714844,Хорошее,,,,
2018-01-07 13:00:00,442.87506103515625,Хорошее,,,,
2018-01-07 14:00:00,442.8716735839844,Хорошее,,,,
2018-01-07 15:00:00,442.8483581542969,Хорошее,,,,
2018-01-07 16:00:00,442.8971252441406,Хорошее,,,,
2018-01-07 17:00:00,442.89971923828125,Хорошее,,,,
2018-01-07 18:00:00,442.9317321777344,Хорошее,,,,
2018-01-07 19:00:00,442.92169189453125,Хорошее,,,,
2018-01-07 20:00:00,442.93572998046875,Хорошее,,,,
2018-01-07 21:00:00,442.9957580566406,Хорошее,,,,
2018-01-07 22:00:00,443.00079345703125,Хорошее,,,,
2018-01-07 23:00:00,443.0355224609375,Хорошее,,,,
2018-01-08 00:00:00,456.50604248046875,Хорошее,,,,
2018-01-08 01:00:00,443.0528869628906,Хорошее,,,,
2018-01-08 02:00:00,443.0687561035156,Хорошее,,,,
2018-01-08 03:00:00,456.3800354003906,Хорошее,,,,
2018-01-08 04:00:00,442.97076416015625,Хорошее,,,,
2018-01-08 05:00:00,442.9642028808594,Хорошее,,,,
2018-01-08 06:00:00,442.9903869628906,Хорошее,,,,
2018-01-08 07:00:00,447.52276611328125,Хорошее,,,,
2018-01-08 08:00:00,442.9690856933594,Хорошее,,,,
2018-01-08 09:00:00,443.00555419921875,Хорошее,,,,
2018-01-08 10:00:00,443.00634765625,Хорошее,,,,
2018-01-08 11:00:00,442.9604797363281,Хорошее,,,,
2018-01-08 12:00:00,442.9615478515625,Хорошее,,,,
2018-01-08 13:00:00,442.96600341796875,Хорошее,,,,
